[Mon, 09 Apr 18 13:28:18 +0700][ERROR] [0]: Table 'event' doesn't exist in database when dumping meta-data for event

[Mon, 09 Apr 18 13:30:23 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:39:19 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:39:24 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:39:25 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:42:24 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:48:47 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:04:31 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:04:34 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:04:50 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:05:34 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:05:55 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

